epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.254,1.51185,5.05601,2.00632,0.44704,0.195,0.11927,0.07402,1.47353,7.97425,2.38476,7.89744e-05,7.89744e-05,7.89744e-05
2,680.937,1.33007,3.56747,1.83659,0.52871,0.30264,0.2945,0.17358,1.48916,5.33078,2.45001,0.000158957,0.000158957,0.000158957
3,1052.37,1.39005,3.12327,1.84773,0.38195,0.325,0.3117,0.16929,1.51564,4.32611,2.48568,0.000238871,0.000238871,0.000238871
4,1432.52,1.35067,2.79293,1.82668,0.45765,0.48258,0.39773,0.23088,1.46598,3.63176,2.41763,0.000318663,0.000318663,0.000318663
5,1819.81,1.29613,2.65639,1.8258,0.48143,0.59905,0.47603,0.24289,1.62073,3.08702,2.50637,0.000398282,0.000398282,0.000398282
6,2183.55,1.32776,2.49503,1.82799,0.42228,0.55211,0.44658,0.25373,1.65636,3.07348,2.59961,0.000398915,0.000398915,0.000398915
7,2671.79,1.32422,2.24806,1.79927,0.52582,0.4868,0.48598,0.31146,1.47843,2.71558,2.25418,0.000398439,0.000398439,0.000398439
8,2907.96,1.31338,2.16286,1.78794,0.52746,0.51786,0.53209,0.29101,1.55625,2.62851,2.34566,0.000397876,0.000397876,0.000397876
9,3151.29,1.33008,2.17066,1.80009,0.47399,0.67682,0.57424,0.32598,1.62988,2.52551,2.41995,0.000397227,0.000397227,0.000397227
10,3417.18,1.3277,2.06997,1.78113,0.61233,0.58103,0.62879,0.35069,1.61781,2.18051,2.41879,0.000396493,0.000396493,0.000396493
11,3999.41,1.37494,2.12836,1.8283,0.54316,0.59904,0.56698,0.3521,1.6466,2.34385,2.40952,0.000395673,0.000395673,0.000395673
12,4697.77,1.26125,1.95182,1.73744,0.51803,0.55312,0.54705,0.30273,1.56886,2.51107,2.3814,0.000394769,0.000394769,0.000394769
